agency_cd,site_no,station_nm,site_tp_cd,lat_va,long_va,dec_lat_va,dec_long_va,coord_meth_cd,coord_acy_cd,coord_datum_cd,dec_coord_datum_cd,district_cd,state_cd,county_cd,country_cd,land_net_ds,map_nm,map_scale_fc,alt_va,alt_meth_cd,alt_acy_va,alt_datum_cd,huc_cd,basin_cd,topo_cd,instruments_cd,construction_dt,inventory_dt,drain_area_va,contrib_drain_area_va,tz_cd,local_time_fg,reliability_cd,gw_file_cd,nat_aqfr_cd,aqfr_cd,aqfr_type_cd,well_depth_va,hole_depth_va,depth_src_cd,project_no
USGS,11467000,RUSSIAN R A HACIENDA BRIDGE NR GUERNEVILLE CA,ST,383031.0,1225536.0,38.50852336,-122.9277737,M,F,NAD27,NAD83,6,6,97,US,  NESES26 T08N  R10W,,,20.14,L,0.01,NGVD29,18010110,,,NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN,,,1338.0,,PST,Y,,NNNNNNNN,,,,,,,
USGS,11467002,RUSSIAN R A JOHNSONS BEACH A GUERNEVILLE CA,ST,382958.0,1225950.0,38.49935758,-122.9983325,M,F,NAD27,NAD83,6,6,97,US,  NENWS32 T08N  R10W,CAMP MEEKER,24000.0,8.79,L,0.1,NGVD29,18010110,,,NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN,,,1353.0,,PST,Y,,NNNNNNNN,,,,,,,967760420
USGS,11467006,RUSSIAN R A VACATION BEACH CA,ST,382903.0,1230041.0,38.48408015,-123.0124997,M,F,NAD27,NAD83,6,6,97,US,,DUNCAN MILLS,24000.0,2.0,M,20.0,NGVD29,18010110,,,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,,,1371.0,,PST,Y,,NNNNNNNN,,,,,,,967760420
USGS,11467050,BIG AUSTIN C A CAZADERO CA,ST,383215.0,1230518.0,38.5374126,-123.0894468,M,F,NAD27,NAD83,6,6,97,US,,,,,,,,18010110,,,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,,,26.6,,PST,Y,,NNNNNNNN,,,,,,,
USGS,11467200,AUSTIN C NR CAZADERO CA,ST,383024.0,1230407.0,38.5065797,-123.0697239,M,S,NAD27,NAD83,6,6,97,US,  NESWS27 T08N  R11W,CAZADERO,24000.0,40.0,M,20.0,NGVD29,18010110,,,NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN,,,62.8,,PST,Y,,NNNNNNNN,,,,,,,967700102
USGS,11467210,RUSSIAN R A DUNCANS MILLS CA,ST,382713.0,1230254.0,38.45352525,-123.0494456,M,F,NAD27,NAD83,6,6,97,US,,,,,,,,18010110,,,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,,,1461.0,,PST,Y,,NNNNNNNN,,,,,,,
USGS,382701123025801,FREEZEOUT C NR DUNCANS MILLS CA,ST,382701.0,1230258.0,38.45027778,-123.0494444,G,U,NAD83,NAD83,6,6,97,US,,DUNCAN MILLS,24000.0,12.0,M,20.0,NGVD29,18010110,,,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,,,,,PST,Y,,,,,,,,,967760420
USGS,382752123003401,DUTCH BILL C A MONTE RIO CA,ST,382752.0,1230034.0,38.46444444,-123.0094444,G,U,NAD83,NAD83,6,6,97,US,,DUNCANS MILLS,24000.0,45.0,M,20.0,NGVD29,18010110,,,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,,,,,PST,Y,,,,,,,,,967760420
USGS,382754123030501,RUSSIAN R A CASINI RANCH NR DUNCANS MILLS CA,ST,382754.0,1230305.0,38.465,-123.0513889,G,F,NAD83,NAD83,6,6,97,US,,DUNCAN MILLS,24000.0,5.0,M,20.0,NGVD29,18010110,,,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,,,,,PST,Y,,,,,,,,,967760420
USGS,382757123003801,RUSSIAN R A MONTE RIO CA,ST,382757.0,1230038.0,38.4658333,-123.0105556,G,F,NAD83,NAD83,6,6,97,US,,DUNCAN MILLS,24000.0,5.0,M,20.0,NGVD29,18010110,,,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,,,,,PST,Y,,,,,,,,,967760420
USGS,382815123024601,AUSTIN C NR DUNCANS MILLS CA,ST,382815.0,1230246.0,38.4708333,-123.046111,G,U,NAD83,NAD83,6,6,97,US,,DUNCANS MILLS,24000.0,23.0,M,20.0,NGVD29,18010110,,,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,,,,,PST,Y,,,,,,,,,967760420
